Channel|Center|Kode|Item|Category |Group|Size|Satuan|Type|Month|Forecast Branch|Forecast Machine (Branch)|Forecast Headquarter (Branch+HO)|"Forecast Machine Headquarter (Branch+HO)
"|Avg Gross Weight (kg/unit)|Avg Volume (m³/unit)
AA|DC CIANJUR|001|Cabe|LOCAL|LIGHT|30 PCS|PC|Cucumber|APR 2026|17|15|25|0|5.00|2,000.000
AA|DC CIANJUR|004|Terong|LOCAL|LIGHT|24 PCS|PC|Cucumber|APR 2026|5|5|13|8|5.20|2,500.000
AA|DC CIANJUR|008|Kentang|LOCAL|LIGHT|12X1 KG|PC|Cucumber|APR 2026|6|6|14|8|2.00|3,378.000
AA|DC CIANJUR|009|Daging|LOCAL|LIGHT|12X1 KG|PC|Cucumber|APR 2026|3|3|11|0|2.50|6,600.000
AA|DC CIANJUR|010|Ikan |LOCAL|LIGHT|12X1 KG|CAR|Cucumber|APR 2026|831|831|839|937|8.50|3,500.000
AA|DC CIANJUR|011|Bawang|LOCAL|LIGHT|12X1 KG|CAR|Cucumber|APR 2026|3,306|3,306|3,314|3,568|5.50|2,000.000
AA|DC CIANJUR|012|Kopi|LOCAL|LIGHT|12X1 KG|PL|Cucumber|APR 2026|1,016|1,016|1,024|1,118|0.50|1,500.000
AA|DC CIANJUR|013|Susu|LOCAL|ROUND|12X1 KG|PL|Oaka|APR 2026|42|42|50|45|5.00|1,500.000
AA|DC CIANJUR|014|Jahe|LOCAL|ROUND|12X1 KG|PL|Oaka|APR 2026|32|32|40|40|5.00|2,000.000
AA|DC CIANJUR|015|Kunyit|LOCAL|ROUND|12X1 KG|PL|Oaka|APR 2026|81|81|89|105|5.00|2,000.000
AA|DC CIANJUR|016|Asam|LOCAL|ROUND|12X1 KG|PL|Oaka|APR 2026|462|462|470|470|0.50|2,000.000
AA|DC CIANJUR|017|Gula|LOCAL|ROUND|12X1 KG|PL|Oaka|APR 2026|3,050|3,050|3,058|3,979|5.00|2,000.000
AA|DC CIANJUR|018|Aren|IMPORT|ROUND|48X170 GR|PL|Oaka|APR 2026|63|63|71|67|5.00|2,000.000
AA|DC CIANJUR|019|Garam|LOCAL|ROUND|48X170 GR|PL|Oaka|APR 2026|29|29|37|29|5.00|2,000.000
AA|DC CIANJUR|020|Kemiri|LOCAL|ROUND|48X170 GR|PL|Oaka|APR 2026|13|13|21|11|0.50|1,000.000
AA|DC CIANJUR|021|Merica|LOCAL|ROUND|48X170 GR|PL|Oaka|APR 2026|55|55|76|73|0.30|1,000.000
AA|DC CIANJUR|022|Lada|LOCAL|ROUND|48X170 GR|PL|Oaka|APR 2026|3|3|11|1|0.30|1,000.000
AA|DC CIANJUR|023|Mie|LOCAL|ROUND|48X170 GR|PL|Oaka|APR 2026|24|24|32|32|0.80|3,800.000
AA|DC CIANJUR|024|Beras|LOCAL|ROUND|48X170 GR|PC|Oaka|APR 2026|501|0|8|342|5.00|800.000
AA|DC CIANJUR|025|Sirup|LOCAL|ROUND|48X170 GR|CAR|Oaka|APR 2026|744|744|752|736|5.20|1,200.000
AA|DC CIANJUR|026|Moka|LOCAL|RICE|48X170 GR|PC|Looked|APR 2026|0|0|8|0|0.50|1,200.000
AA|DC CIANJUR|027|Minyak|LOCAL|RICE|48X170 GR|PL|Looked|APR 2026|23|23|31|49|5.00|2,200.000
AA|DC CIANJUR|028|Sabun Colek|LOCAL|RICE|48X170 GR|PL|Looked|APR 2026|0|0|8|0|5.00|1,900.000
AA|DC CIANJUR|029|Sabun Mandi|LOCAL|RICE|48X170 GR|PL|Looked|APR 2026|9|9|17|42|0.50|800.000
AA|DC CIANJUR|030|Sampo|LOCAL|RICE|48X170 GR|PL|Looked|APR 2026|147|147|155|236|0.40|800.000
AA|DC CIANJUR|031|Wijen|LOCAL|RICE|48X170 GR|PL|Looked|APR 2026|52|52|60|52|0.50|1,000.000
AA|DC CIANJUR|032|Rimpang|LOCAL|RICE|48X170 GR|PC|Looked|APR 2026|1,446|1,446|1,454|1,808|5.00|1,000.000
AA|DC CIANJUR|033|Dodol|LOCAL|WATER|48X170 GR|PC|Blue|APR 2026|171|171|179|172|0.80|2,600.000
AA|DC CIANJUR|034|Uli|LOCAL|WATER|48X170 GR|PC|Blue|APR 2026|8,708|8,708|8,716|6,707|0.80|2,600.000
AA|DC CIANJUR|035|Singkong|LOCAL|WATER|48X170 GR|PC|Blue|APR 2026|5,500|5,500|5,508|4,707|2.00|2,100.000
AA|DC CIANJUR|037|Ubi|LOCAL|WATER|48X170 GR|PC|Blue|APR 2026|1,306|1,306|1,314|1,768|2.00|2,100.000
AA|DC CIANJUR|038|Terong|LOCAL|WATER|48X170 GR|PC|Blue|APR 2026|147|147|155|245|5.20|2,500.000
AA|DC CIANJUR|040|Kacang|LOCAL|WATER|48X170 GR|PC|Blue|APR 2026|5|5|13|43|5.00|2,100.000
AA|DC CIANJUR|041|Toge|LOCAL|WATER|48X170 GR|PC|Blue|APR 2026|0|0|8|27,760|5.00|1,000.000
AA|DC CIANJUR|042|Tomat|LOCAL|WATER|48X170 GR|PC|Blue|APR 2026|597|597|605|624|5.20|1,000.000
AA|DC CIANJUR|044|Bombay|LOCAL|WATER|48X170 GR|PC|Blue|APR 2026|0|0|8|48,747|5.50|1,000.000
AB|DC SUKABUMI|012|Kopi|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|429|429|437|486|0.50|1,500.000
AB|DC SUKABUMI|013|Susu|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|13|13|21|38|5.00|1,500.000
AB|DC SUKABUMI|014|Jahe|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|104|104|112|1,166|5.00|2,000.000
AB|DC SUKABUMI|015|Kunyit|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|14|14|22|46|5.00|2,000.000
AB|DC SUKABUMI|016|Asam|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|245|245|253|430|0.50|2,000.000
AB|DC SUKABUMI|017|Gula|LOCAL|ROUND|72X50 GR|BAG|Oaka|APR 2026|22|22|30|49|5.00|2,000.000
AB|DC SUKABUMI|018|Aren|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|27|27|35|72|5.00|2,000.000
AB|DC SUKABUMI|019|Garam|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|1,743|1,743|1,751|1,472|5.00|2,000.000
AB|DC SUKABUMI|020|Kemiri|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|980|980|988|516|0.50|1,000.000
AB|DC SUKABUMI|021|Merica|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|1|1|9|0|0.30|1,000.000
AB|DC SUKABUMI|022|Lada|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|578|578|586|736|0.30|1,000.000
AB|DC SUKABUMI|023|Mie|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|1|1|9|8|0.80|3,800.000
AB|DC SUKABUMI|024|Beras|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|7|7|15|26|5.00|800.000
AB|DC SUKABUMI|025|Sirup|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|33|33|41|178|5.20|1,200.000
